flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
SK2107,Malmo,MMX,Europe,SE,2018-04-20T09:30:00Z,513,90.801,263.4850446
SK008,Lulea,LLA,Europe,SE,2018-04-20T09:30:00Z,727,128.679,373.3988839
SK177,Angelholm,AGH,Europe,SE,2018-04-20T09:35:00Z,461,118.477,343.7948661
SK2497,Billund,BLL,Europe,DK,2018-04-20T09:50:00Z,668,118.236,343.0955357
SK1042,Kiruna,KRN,Europe,SE,2018-04-20T09:50:00Z,955,169.035,490.5033482
DY4009,Umea,UME,Europe,SE,2018-04-20T09:25:00Z,514,90.978,263.9986607
RO332,Bucharest,OTP,Europe,RO,2018-04-20T09:00:00Z,1745,308.865,896.2600446
LH2415,Munich,MUC,Europe,DE,2018-04-20T09:50:00Z,1316,232.932,675.91875
SK4242,Tampere,TMP,Europe,FI,2018-04-20T10:10:00Z,395,101.515,294.5747768
BA777,London LHR,LHR,Europe,GB,2018-04-20T09:25:00Z,1454,257.358,746.7977679
SK044,Sundsvall,SDL,Europe,SE,2018-04-20T10:05:00Z,343,88.151,255.7953125
KL1108,Amsterdam,AMS,Europe,NL,2018-04-20T09:30:00Z,1127,199.479,578.8453125
D8205,Helsinki,HEL,Europe,FI,2018-04-20T09:50:00Z,397,102.029,296.0662946
DY4039,Lulea,LLA,Europe,SE,2018-04-20T10:10:00Z,727,128.679,373.3988839
SK1421,Copenhagen,CPH,Europe,DK,2018-04-20T08:55:00Z,523,92.571,268.6212054
SK157,Goteborg,GOT,Europe,SE,2018-04-20T09:25:00Z,397,102.029,296.0662946
D83197,Copenhagen,CPH,Europe,DK,2018-04-20T10:00:00Z,523,92.571,268.6212054
SK899,Bergen,BGO,Europe,NO,2018-04-20T10:40:00Z,721,127.617,370.3171875
SK732,St Petersburg,LED,Europe,RU,2018-04-20T10:40:00Z,691,122.307,354.9087054
SK903,New York EWR,EWR,other,US,2018-04-20T10:25:00Z,6339,1122.003,3255.812277
SK708,Helsinki,HEL,Europe,FI,2018-04-20T10:55:00Z,397,102.029,296.0662946
TOM3522,Larnaca,LCA,Asia,CY,2018-04-20T07:50:00Z,2946,521.442,1513.112946
DY4487,Budapest,BUD,Europe,HU,2018-04-20T10:20:00Z,1319,233.463,677.4595982
D85051,Malaga,AGP,Europe,ES,2018-04-20T10:20:00Z,2992,529.584,1536.739286
SK1044,Kiruna,KRN,Europe,SE,2018-04-20T11:00:00Z,955,169.035,490.5033482
SK159,Goteborg,GOT,Europe,SE,2018-04-20T10:55:00Z,397,102.029,296.0662946
AY808,Helsinki,HEL,Europe,FI,2018-04-20T10:55:00Z,397,102.029,296.0662946
SU2211,Moscow,SVO,Europe,RU,2018-04-20T10:45:00Z,1229,217.533,631.2341518
SK117,Malmo,MMX,Europe,SE,2018-04-20T11:10:00Z,513,90.801,263.4850446
BT106,Riga,RIX,Europe,LV,2018-04-20T10:50:00Z,443,113.851,330.3712054
D81001,Rome FCO,FCO,Europe,IT,2018-04-20T11:00:00Z,1993,352.761,1023.63683
LH803,Frankfurt,FRA,Europe,DE,2018-04-20T11:10:00Z,1188,210.276,610.1758929
D8207,Helsinki,HEL,Europe,FI,2018-04-20T11:25:00Z,397,102.029,296.0662946
DY7067,Oakland,OAK,America,US,2018-04-20T11:25:00Z,8626,1526.802,4430.452232
SK495,Oslo,OSL,Europe,NO,2018-04-20T11:20:00Z,417,107.169,310.9814732
AF1263,Paris CDG,CDG,Europe,FR,2018-04-20T10:40:00Z,1523,269.571,782.2372768
SK405,Copenhagen,CPH,Europe,DK,2018-04-20T10:45:00Z,523,92.571,268.6212054
SK489,Oslo,OSL,Europe,NO,2018-04-20T10:35:00Z,417,107.169,310.9814732
DY813,Oslo,OSL,Europe,NO,2018-04-20T11:20:00Z,417,107.169,310.9814732
SK2677,Berlin TXL,TXL,Europe,DE,2018-04-20T11:30:00Z,810,143.37,416.0290179
2N491,Kokkola/Jakobst,KOK,Europe,FI,2018-04-20T11:15:00Z,558,98.766,286.5977679
2N3104,Ornskoldsvik,OER,Europe,SE,2018-04-20T11:40:00Z,442,113.594,329.6254464
SK1744,Tallinn,TLL,Europe,EE,2018-04-20T11:45:00Z,379,97.403,282.6426339
SK012,Lulea,LLA,Europe,SE,2018-04-20T12:00:00Z,727,128.679,373.3988839
SK094,Ornskoldsvik,OER,Europe,SE,2018-04-20T12:15:00Z,442,113.594,329.6254464
SK010,Lulea,LLA,Europe,SE,2018-04-20T12:15:00Z,727,128.679,373.3988839
SK2111,Malmo,MMX,Europe,SE,2018-04-20T12:20:00Z,513,90.801,263.4850446
ASE297A,Duluth Intl.,DLH,other,US,2018-04-20T12:00:00Z,6632,1173.864,3406.301786
SK1423,Copenhagen,CPH,Europe,DK,2018-04-20T11:30:00Z,523,92.571,268.6212054
BA775,London LHR,LHR,Europe,GB,2018-04-20T11:30:00Z,1454,257.358,746.7977679
KL1110,Amsterdam,AMS,Europe,NL,2018-04-20T11:40:00Z,1127,199.479,578.8453125
PS172,Kiev,KBP,Europe,UA,2018-04-20T11:45:00Z,1266,224.082,650.2379464
WW943,Reykjavik,KEF,other,IS,2018-04-20T10:35:00Z,2135,377.895,1096.570312
FI307,Reykjavik,KEF,other,IS,2018-04-20T12:20:00Z,2135,377.895,1096.570312
D82853,London LGW,LGW,Europe,GB,2018-04-20T12:10:00Z,1465,259.305,752.4475446
SK1016,Skelleftea,SFT,Europe,SE,2018-04-20T12:30:00Z,622,110.094,319.4691964
TG961,Bangkok,BKK,Asia,TH,2018-04-20T12:30:00Z,8280,1465.56,4252.741071
SK2064,Are Ostersund,OSD,other,TH,2018-04-20T12:35:00Z,0,0,0
SK637,Frankfurt,FRA,Europe,DE,2018-04-20T12:35:00Z,1188,210.276,610.1758929
SK185,Angelholm,AGH,Europe,SE,2018-04-20T12:40:00Z,461,118.477,343.7948661
SK4234,Turku,TKU,Asia,TW,2018-04-20T12:25:00Z,8350,1477.95,4288.694196
DY4161,Copenhagen,CPH,Europe,DK,2018-04-20T12:15:00Z,523,92.571,268.6212054
DY4079,Goteborg,GOT,Europe,SE,2018-04-20T12:55:00Z,397,102.029,296.0662946
SK081,Visby,VBY,Europe,SE,2018-04-20T12:50:00Z,189,48.573,140.9484375
PC1280,Istanbul SAW,SAW,other,SE,2018-04-20T11:55:00Z,0,0,0
SK052,Sundsvall,SDL,Europe,SE,2018-04-20T13:00:00Z,343,88.151,255.7953125
DY4115,Oslo,OSL,Europe,NO,2018-04-20T13:00:00Z,417,107.169,310.9814732
HP366,Kristianstad,KID,Europe,SE,2018-04-20T12:50:00Z,435,111.795,324.4051339
SK2545,Edinburgh,EDI,Europe,GB,2018-04-20T13:00:00Z,1315,232.755,675.4051339
SK963,Hong Kong,HKG,Asia,HK,2018-04-20T13:00:00Z,8224,1455.648,4223.978571
SK1131,Ronneby,RNB,Europe,SE,2018-04-20T12:55:00Z,385,98.945,287.1171875
DY4013,Umea,UME,Europe,SE,2018-04-20T13:20:00Z,514,90.978,263.9986607
SK109,Malmo,MMX,Europe,SE,2018-04-20T13:25:00Z,513,90.801,263.4850446
SK1589,Brussels,BRU,Europe,BE,2018-04-20T13:10:00Z,1282,226.914,658.4558036
SK034,Umea,UME,Europe,SE,2018-04-20T12:40:00Z,514,90.978,263.9986607
SK161,Goteborg,GOT,Europe,SE,2018-04-20T12:45:00Z,397,102.029,296.0662946
SK867,Oslo,OSL,Europe,NO,2018-04-20T12:30:00Z,417,107.169,310.9814732
SK712,Helsinki,HEL,Europe,FI,2018-04-20T12:30:00Z,397,102.029,296.0662946
KK2302,Istanbul IST,IST,Europe,TR,2018-04-20T12:45:00Z,2177,385.329,1118.142187
OK491,Prague,PRG,Europe,CZ,2018-04-20T12:25:00Z,1056,186.912,542.3785714
D83209,Copenhagen,CPH,Europe,DK,2018-04-20T13:30:00Z,523,92.571,268.6212054
SK527,London LHR,LHR,Europe,GB,2018-04-20T13:25:00Z,1454,257.358,746.7977679
LX1251,Zurich,ZRH,Europe,CH,2018-04-20T13:25:00Z,1471,260.367,755.5292411
SK2565,Dublin,DUB,Europe,IE,2018-04-20T13:20:00Z,1630,288.51,837.1941964
