flight ID, Destination, Destination_IATA, Continent, Country, Time, Distance, Emissions, TaxCuts
LH2419,Munich,MUC,Europe,DE,2018-04-21T16:40:00Z,1316.0,232.932,675.9187499999999,
DY4401,Larnaca,LCA,Asia,CY,2018-04-21T12:40:00Z,2946.0,521.442,1513.1129464285714,
OK491,Prague,PRG,Europe,CZ,2018-04-21T16:25:00Z,1056.0,186.91199999999998,542.3785714285713,
SK074,Are Ostersund,OSD,other,CZ,2018-04-21T16:40:00Z,0.0,0.0,0.0,
LH805,Frankfurt,FRA,Europe,DE,2018-04-21T16:50:00Z,1188.0,210.27599999999998,610.1758928571428,
SK1046,Kiruna,KRN,Europe,SE,2018-04-21T16:50:00Z,955.0,169.035,490.5033482142857,
D85555,Barcelona,BCN,Europe,ES,2018-04-21T17:10:00Z,2281.0,403.73699999999997,1171.5582589285714,
SK1018,Skelleftea,SFT,Europe,SE,2018-04-21T17:15:00Z,622.0,110.094,319.46919642857137,
SK1409,Copenhagen,CPH,Europe,DK,2018-04-21T17:00:00Z,523.0,92.571,268.62120535714286,
SK169,Goteborg,GOT,Europe,SE,2018-04-21T16:30:00Z,397.0,102.029,296.0662946428571,
BT110,Riga,RIX,Europe,LV,2018-04-21T17:40:00Z,443.0,113.851,330.37120535714286,
AF1063,Paris CDG,CDG,Europe,FR,2018-04-21T17:40:00Z,1523.0,269.57099999999997,782.2372767857141,
CA912,Beijing,PEK,Asia,CN,2018-04-21T17:10:00Z,6718.0,1189.086,3450.472767857142,
LX1255,Zurich,ZRH,Europe,CH,2018-04-21T17:30:00Z,1471.0,260.36699999999996,755.5292410714284,
PC5602,Antalya,AYT,Europe,TR,2018-04-21T16:55:00Z,2660.0,470.82,1366.2187499999998,
SK187,Angelholm,AGH,Europe,SE,2018-04-21T16:30:00Z,461.0,118.477,343.79486607142854,
D86653,Palma,PMI,Europe,ES,2018-04-21T17:50:00Z,2453.0,434.181,1259.9002232142855,
SU2387,Moscow,SVO,Europe,RU,2018-04-21T18:20:00Z,1229.0,217.533,631.2341517857142,
LO8124,Tallinn,TLL,Europe,EE,2018-04-21T12:40:00Z,379.0,97.403,282.6426339285714,
AY820,Helsinki,HEL,Europe,FI,2018-04-21T19:00:00Z,397.0,102.029,296.0662946428571,
D82859,London LGW,LGW,Europe,GB,2018-04-21T18:50:00Z,1465.0,259.305,752.4475446428571,
TK1796,Istanbul IST,IST,Europe,TR,2018-04-21T16:15:00Z,2177.0,385.329,1118.1421874999999,
TK1794,Istanbul IST,IST,Europe,TR,2018-04-21T09:30:00Z,2177.0,385.329,1118.1421874999999,
QR172,Doha,DOH,Asia,QA,2018-04-21T20:40:00Z,4590.0,812.43,2357.497767857142,
LO8120,Tallinn,TLL,Europe,EE,2018-04-21T20:25:00Z,379.0,97.403,282.6426339285714,
ET715,Addis Abeba,ADD,Africa,ET,2018-04-21T19:50:00Z,5871.0,1039.167,3015.4399553571425,
AY810,Helsinki,HEL,Europe,FI,2018-04-21T12:35:00Z,397.0,102.029,296.0662946428571,
AY814,Helsinki,HEL,Europe,FI,2018-04-21T14:50:00Z,397.0,102.029,296.0662946428571,
LH809,Frankfurt,FRA,Europe,DE,2018-04-21T04:05:00Z,1188.0,210.27599999999998,610.1758928571428,
SK026,Umea,UME,Europe,SE,2018-04-21T16:35:00Z,514.0,90.978,263.9986607142857,
